category,issue_examples,to,cc1,cc2,cc3,entities_required
land_encroachment,neighbor encroached my land;illegal occupation of patta land;boundary encroachment;compound wall built inside my land;agricultural land encroached;house site encroached;government failed to remove encroachment;encroachment after survey;land grabbed by neighbour;illegal fencing;road encroached into patta land;temple encroachment on private land;commercial encroachment;land occupied using forged documents;patta land under illegal possession;encroachment despite court order;police not helping in land encroachment;revenue officials not taking action;survey proves encroachment;remove encroachment from patta land;encroachment by builder;encroachment by local body;encroachment by relatives;illegal cultivation on my land;fake patta used for encroachment;encroachment after inheritance;encroachment after partition;land grabbing complaint;continuous trespass;illegal possession after owner's death,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;village;taluk;encroacher_details
poromboke_encroachment,encroachment on poromboke land;government land occupied illegally;road poromboke encroached;lake poromboke occupied;canal poromboke blocked;public pathway encroached;temple poromboke occupied;illegal fencing on government land;construction on poromboke;shop built on poromboke;political encroachment on poromboke;poromboke converted to private land;fake patta issued on poromboke;illegal land assignment;remove government land encroachment;protect public land;revenue officials not acting;survey shows poromboke encroachment;public access blocked;water channel blocked by encroachment;school land encroached;burial ground encroached;playground encroached;village common land occupied;unauthorised occupation;illegal cultivation on poromboke;government land sold illegally;poromboke mutation fraud;restore government land;encroachment despite eviction notice,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,survey_number;village;taluk;encroacher_details
waterbody_encroachment,lake encroachment;pond encroachment;tank encroachment;eri encroachment;channel blocked;waterbody filled illegally;illegal construction inside lake;layout developed inside lake;building on waterbody;stormwater channel blocked;river encroachment;odai encroachment;drain encroachment;wetland occupied;illegal land filling;waterbody converted into plots;water flow obstructed;encroachment causing floods;remove waterbody encroachment;government not clearing encroachment;survey shows encroachment;public complaint ignored;environmental damage due to encroachment;illegal patta issued for waterbody;fake documents used;waterbody restoration;protect irrigation tank;restore canal;illegal dumping in lake;encroachment affecting farmers,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,waterbody_name;village;taluk;encroacher_details
legal_heir_certificate,legal heir certificate pending;certificate not issued;application rejected;wrong legal heir certificate;incorrect legal heir names;name spelling mistake;father name incorrect;mother name incorrect;spouse omitted;child omitted;additional heir not included;fake legal heir certificate;forged legal heir certificate;fraudulent legal heir certificate;duplicate legal heir certificate;cancel fake legal heir certificate;correct legal heir certificate;appeal against rejection;certificate obtained by fraud;mutation based on fake legal heir certificate;patta transferred using fake legal heir certificate;sale deed executed using forged legal heir certificate;settlement deed executed using false legal heir certificate;partition deed using fake legal heir certificate;inheritance denied due to wrong certificate;property grabbed using fake legal heir certificate;certificate issued to wrong family;objection to legal heir certificate;certificate verification request;certificate required for pension,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,deceased_name;date_of_death;relationship_to_deceased;village;taluk
community_certificate,community certificate pending;certificate not issued;community certificate rejected;wrong community entered;SC certificate issue;ST certificate issue;BC certificate issue;MBC certificate issue;DNC certificate issue;community certificate correction;duplicate community certificate;fake community certificate;forged community certificate;fraudulent community certificate;certificate verification;community certificate cancelled wrongly;school admission requires community certificate;college admission delayed due to certificate;job reservation certificate pending;scholarship affected;income and community mismatch;online application pending;certificate not digitally signed;certificate not downloadable;appeal against rejection;certificate issued to wrong person;certificate lost;certificate damaged;reissue community certificate;correction in father's community,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,application_number;application_date;purpose;village;taluk
income_certificate,income certificate pending;certificate not issued;wrong annual income;income certificate rejected;certificate expired;certificate correction;fake income certificate;forged income certificate;income certificate verification;income certificate required for scholarship;fee concession;education loan;government scheme;EWS certificate support;wrong family income;salary wrongly calculated;pension included incorrectly;certificate delayed;online application pending;certificate not downloadable;appeal against rejection;income proof dispute;incorrect occupation entered;old income reflected;fresh income certificate request;duplicate income certificate;certificate lost;certificate damaged;certificate required for hostel;certificate required for reservation,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,application_number;application_date;purpose;village;taluk
nativity_certificate,nativity certificate pending;certificate not issued;nativity certificate rejected;wrong place of birth;wrong district;wrong village;proof of residence issue;certificate required for government job;certificate required for college admission;certificate required for scholarship;certificate correction;duplicate nativity certificate;certificate verification;certificate cancelled wrongly;online application pending;certificate not downloadable;appeal against rejection;continuous residence proof;migration issue;residence records mismatch;certificate lost;certificate damaged;certificate required for recruitment;certificate required for sports quota;certificate required for local quota;wrong father's native place;wrong address;certificate issued to wrong person;delay by Tahsildar;verification pending,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,application_number;application_date;purpose;village;taluk
solvency_certificate,solvency certificate pending;certificate not issued;wrong solvency amount;certificate rejected;property valuation dispute;bank requires solvency certificate;tender participation;court surety;contractor solvency;certificate correction;certificate verification;property not considered;joint property issue;encumbrance affecting solvency;duplicate certificate;online application pending;certificate not downloadable;appeal against rejection;certificate lost;certificate damaged;valuation too low;valuation too high;wrong survey number;wrong patta details;wrong owner details;legal heir property not included;government valuation delay;solvency renewal;certificate for licence;certificate for mining lease,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,application_number;application_date;purpose;village;taluk;survey_number
residence_certificate,residence certificate pending;certificate not issued;wrong address;wrong duration of residence;certificate rejected;proof of residence issue;certificate required for school admission;college admission;government job;scholarship;hostel admission;local quota;address correction;certificate verification;duplicate certificate;certificate lost;certificate damaged;online application pending;certificate not downloadable;appeal against rejection;house number incorrect;street name incorrect;village incorrect;taluk incorrect;district incorrect;tenant residence certificate;owner residence certificate;continuous residence proof;old address reflected;change of address pending,Tahsildar,Revenue Divisional Officer,District Revenue Officer,District Collector,application_number;application_date;purpose;village;taluk
old_age_pension,old age pension not sanctioned;pension application pending;pension stopped;pension amount not credited;pension delayed;eligible but pension denied;wrong beneficiary details;bank account mismatch;Aadhaar mismatch;life certificate issue;biometric authentication failed;pension transferred to wrong account;pension cancelled without reason;duplicate pension record;widow pension wrongly converted;old age pension restoration;arrears not paid;pension verification pending;income wrongly assessed;property criteria dispute;appeal against rejection;pension not received after approval;online status pending;name mismatch;DOB correction;bank IFSC issue;NPCI mapping issue;surviving certificate issue;monthly pension missing;district treasury delay,Tahsildar,Revenue Divisional Officer,District Social Welfare Officer,District Collector,application_number;application_date;bank_name;taluk
widow_pension,widow pension not sanctioned;widow pension application pending;widow pension stopped;pension not credited;monthly pension delayed;eligible widow denied pension;bank account mismatch;Aadhaar mismatch;life certificate issue;widow pension cancelled;pension transferred to wrong account;duplicate beneficiary record;arrears not paid;pension restoration request;verification pending;income assessed incorrectly;remarriage wrongly assumed;online application pending;status not updated;appeal against rejection;widow pension after husband's death delayed;family pension confusion;death certificate submitted but pension not started;beneficiary name mismatch;DOB mismatch;bank IFSC changed;pension approval pending at Tahsildar;treasury payment delay;widow pension suspended without notice;grievance against pension rejection,Tahsildar,Revenue Divisional Officer,District Social Welfare Officer,District Collector,application_number;application_date;bank_name;taluk;date_of_death
disabled_pension,disabled pension pending;disability pension not sanctioned;pension stopped;monthly pension not received;Aadhaar mismatch;bank account mismatch;disability certificate accepted but pension not started;medical board certificate pending;benchmark disability accepted but no pension;verification pending;arrears not paid;pension restoration;beneficiary details incorrect;duplicate pension record;appeal against rejection;online application pending;status not updated;wrong disability percentage considered;guardian details incorrect;pension transferred to wrong account;life certificate issue;treasury delay;district office delay;new disability ID not updated;pension cancelled without notice,Tahsildar,Revenue Divisional Officer,District Differently Abled Welfare Officer,District Collector,application_number;application_date;bank_name;taluk;udid_number
destitute_pension,destitute pension pending;destitute pension rejected;pension not credited;pension stopped;eligible beneficiary denied;verification pending;bank account mismatch;Aadhaar mismatch;arrears not paid;duplicate beneficiary record;online application pending;status not updated;appeal against rejection;incorrect income assessment;homeless pension request;single woman pension request;supporting documents submitted but no action;pension transferred to wrong account;treasury delay;beneficiary name mismatch;DOB mismatch;life certificate issue;pension restoration request;district office delay;monthly assistance not received,Tahsildar,Revenue Divisional Officer,District Social Welfare Officer,District Collector,application_number;application_date;bank_name;taluk
ration_card_new,new ration card application pending;ration card not issued;family card application rejected;smart ration card pending;newly married ration card;separate family card request;joint family separation;online application pending;documents verified but no card;address change requiring new card;new house shifted;duplicate application issue;application under verification;ration card status pending;card not printed;card not delivered;Aadhaar seeding pending;mobile number update required;appeal against rejection;new family card after migration;widow applying for new card;single person ration card;card not activated;newborn added but card not issued;offline application pending,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,application_number;village;taluk
ration_card_correction,name correction in ration card;address correction;DOB correction;gender correction;head of family correction;wrong Aadhaar linked;mobile number update;photograph correction;duplicate family member;wrong category in ration card;NFSA category correction;card damaged;card lost;smart card error;application pending;status not updated;appeal against correction rejection;spelling mistake;wrong relation entered;old address shown;new address not updated;EPIC mismatch;bank linkage issue;eKYC pending;QR code issue,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,ration_card_number;taluk
ration_card_member_addition,add family member;add newborn child;add spouse;add adopted child;add parents;marriage after ration card;family member omitted;Aadhaar linked but member not added;online addition pending;verification pending;application rejected;member addition delayed;duplicate member issue;wrong relationship entered;beneficiary not eligible due to missing member;appeal against rejection;new child benefits denied;member addition after migration;head of family changed;member already exists in another card;student returned home;member addition after legal adoption;member addition after court order;status not updated;documents submitted but pending,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,ration_card_number;taluk;member_name;relationship
ration_card_member_deletion,remove deceased member;remove divorced spouse;remove migrated member;duplicate member removal;member shifted to another family card;member removal pending;online deletion pending;verification pending;application rejected;wrong member removed;deceased still appearing in card;duplicate Aadhaar issue;member transferred wrongly;appeal against rejection;family split request;beneficiary duplication;documents submitted but pending;head of family change after deletion;status not updated;ghost beneficiary removal;member deletion after marriage;member deletion after court order;incorrect family composition;remove tenant from card;wrong deletion request,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,ration_card_number;taluk;member_name
pds_shop_issue,ration shop closed;ration shop not opening on time;shopkeeper absent;ration denied;shop refusing service;poor behaviour by salesman;shop demanding bribe;shop closed without notice;ration stock hidden;shop not displaying stock;electronic POS not working;dealer malpractice;dealer black marketing;shop cleanliness issue;dealer refusing eligible beneficiaries;shop location issue;dealer misbehaviour;dealer asks extra documents;shop timing violation;complaint against fair price shop;dealer discrimination;dealer corruption;ration shop licence violation;unauthorised closure;dealer absent repeatedly,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,shop_number;street_name;village
pds_short_supply,less rice supplied;less sugar supplied;less wheat supplied;less kerosene supplied;quantity reduced;weighing machine manipulated;ration shortage;dealer supplied less quantity;items missing from allocation;poor quality rice;poor quality wheat;expired food grains;spoiled commodities;ration not matching entitlement;dealer diverting stock;stock shortage every month;incorrect weighing;family entitlement reduced;beneficiary denied commodities;digital transaction shows supplied but goods not received;PDS fraud;commodity substitution;measurement fraud;ration not fully issued;complaint on monthly allocation,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,shop_number;street_name;village
pds_overpricing,dealer charging extra;extra money for rice;extra money for sugar;overpricing of commodities;illegal collection;service charge demanded;dealer asking transport charges;unauthorised fee;MRP violation in PDS;cash collected without receipt;dealer demanding commission;dealer forcing purchase of unwanted items;price higher than government rate;receipt not issued;dealer threatening beneficiaries;illegal collection for smart card;corruption in ration shop;dealer collecting festival charges;false billing;cash collected despite free entitlement;beneficiary exploitation;dealer refusing commodities without payment;complaint against overcharging;PDS corruption;illegal demand by ration dealer,Taluk Supply Officer,District Supply Officer,"Joint Commissioner, Civil Supplies",District Collector,shop_number;street_name;village
drinking_water_supply,no drinking water supply;water not supplied for several days;irregular water supply;low water pressure;water supplied only once a week;drinking water shortage;summer water scarcity;pipeline dry;public tap not functioning;overhead tank not filled;water supply stopped without notice;water supply timing changed;street not receiving water;unequal water distribution;new area not covered;water tanker not provided;insufficient tanker supply;water not reaching upper floors;valve not opened;illegal water diversion;water theft affecting supply;frequent water interruptions;complaint ignored by local body;water supply after cyclone not restored;pipeline disconnected;water supply delayed after maintenance;public standpost dry;village water supply failure;borewell failure affecting supply;emergency drinking water request,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
water_quality,dirty drinking water;muddy water;yellow water;brown water;bad smell in water;bad taste in water;contaminated drinking water;sewage mixed with drinking water;oil mixed in water;worms in water;insects in drinking water;salty water;high TDS water;unsafe drinking water;water causing illness;water causing skin allergy;water sample testing request;chlorination not done;poor quality borewell water;rusty water from pipeline;chemical contamination;industrial pollution affecting water;dead animal in water tank;water tank not cleaned;pipeline contamination;unsafe public tap;drinking water health complaint;potable water issue;water purification request;public health risk due to water,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
water_pipeline_leak,pipeline leakage;drinking water pipe burst;pipeline damaged;water leaking on road;underground pipeline leak;valve leakage;pipeline crack;water wastage due to leakage;water pressure loss because of leak;pipeline broken during road work;illegal pipeline connection;water flooding due to pipe burst;continuous water leakage;house connection leakage from main line;pipeline repair delayed;old pipeline damaged;water mixing with sewage due to leak;public complaint ignored;pipeline replacement request;damaged GI pipe;PVC pipeline leak;main line damaged;drinking water escaping continuously;leak affecting nearby houses;water logging from pipeline;emergency pipeline repair;pipeline valve failure;distribution line leak;service line damaged;pipeline maintenance pending,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
water_new_connection,new drinking water connection;water connection application pending;new house water connection;commercial water connection;domestic water connection;connection rejected;water meter installation pending;deposit paid but connection not given;pipeline available but no connection;connection file pending;illegal refusal of connection;online application pending;connection after building approval;water connection after property purchase;temporary water connection;reconnection request;name transfer for water connection;change of connection category;duplicate connection issue;wrong consumer number;connection disconnected wrongly;water connection restoration;delay after payment;inspection not conducted;connection estimate pending;new apartment connection;individual connection request;shared connection dispute;water board not responding;appeal against rejection,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,application_number;door_number;street_name
sewer_connection,new sewer connection;underground drainage connection pending;UGD connection delayed;deposit paid but sewer connection not provided;new house sewer connection;commercial sewer connection;connection rejected;connection estimate pending;inspection pending;illegal refusal;reconnection request;name transfer for sewer connection;connection after building approval;pipeline available but not connected;shared sewer connection dispute;wrong consumer number;sewer connection disconnected;delay after payment;online application pending;UGD not extended to street;temporary sewer connection;connection approval pending;new apartment sewer connection;connection restoration;septic tank conversion to UGD;drain connection denied;drain not linked to main sewer;sewer line inaccessible;appeal against rejection;UGD service not started,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,application_number;door_number;street_name
drainage_sewage,sewage overflow;drain blocked;underground drainage blocked;manhole overflowing;open drain overflow;drain choke;septic overflow into street;house sewage backing up;drainage not cleaned;bad smell from drain;drain blocked due to garbage;stormwater entering sewer;sewer entering drinking water line;drain collapse;broken manhole cover;overflow during rain;drain maintenance pending;public health risk;mosquito breeding due to sewage;street flooded with sewage;illegal sewer connection;drain not constructed;damaged sewer pipeline;overflow affecting houses;overflow affecting school;overflow affecting hospital;drain not desilted;UGD maintenance issue;continuous sewage leakage;emergency drain cleaning,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
stormwater_drain,stormwater drain blocked;stormwater drain not constructed;rainwater flooding;street flooding;water stagnation after rain;drain desilting pending;storm drain overflow;drain covered illegally;encroachment over storm drain;drain collapse;storm drain damaged during road work;poor rainwater drainage;road flooding;drain cleaning not done;storm drain maintenance delayed;new storm drain request;drain outlet blocked;drain missing in layout;storm drain design issue;waterlogging every monsoon;illegal waste dumped in drain;drain reconstruction request;public safety issue;broken drain slabs;overflow into houses;overflow into shops;rainwater not flowing;drain restoration pending;blocked culvert affecting drain;stormwater network failure,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
garbage_sanitation,garbage not collected;garbage overflowing;door-to-door collection not done;public bin overflowing;illegal garbage dumping;medical waste dumped;dead animal not removed;street not cleaned;sanitation workers absent;garbage burning;solid waste not cleared;construction debris not removed;market waste not removed;garbage attracting dogs;garbage causing foul smell;unclean street;waste collection vehicle not coming;segregation not followed;public complaint ignored;overflowing community bin;garbage near school;garbage near hospital;garbage near temple;garbage in vacant land;garbage causing mosquito breeding;garbage collection irregular;plastic waste accumulation;bulk waste complaint;waste management failure;emergency garbage removal,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
mosquito_menace,mosquito breeding;mosquito infestation;dengue mosquitoes;malaria mosquitoes;fogging not done;anti-larval spraying not done;stagnant water causing mosquitoes;mosquitoes from sewage;mosquitoes from vacant land;mosquitoes from construction site;public health complaint;mosquitoes near school;mosquitoes near hospital;mosquitoes due to garbage;vector control not done;corporation not spraying;mosquito control request;fumigation request;mosquito nuisance at night;mosquitoes in apartment;complex mosquito breeding;mosquitoes due to open drain;mosquitoes after rain;mosquitoes in park;mosquito complaint ignored;public health risk;repeated dengue cases;mosquito eradication request;larvae in stagnant water;health department action requested,Commissioner / Executive Officer / BDO,District Health Officer,District Collector,Director of Public Health,street_name;ward_number;village
street_light,street light not working;street light fused;street light pole damaged;LED street light not functioning;new street light request;street too dark;street light blinking;street light always on;street light always off;street light cable damaged;street light switch failure;street light timer issue;electric pole without light;public safety due to darkness;accident risk due to no street light;school road without street light;park street light not working;bus stop without street light;junction lighting inadequate;street light maintenance delayed;damaged street light bracket;broken street light glass;street light stolen;street light after cyclone not restored;underground cable fault;street light complaint ignored;unsafe road at night;high mast light not working;new pole required;replacement of old street lights,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
road_repair,road damaged;road completely broken;pothole filled with water;road caved in;road surface peeled off;bitumen worn out;cement road damaged;village road damaged;urban road damaged;main road damaged;internal road damaged;road repair pending;road not repaired despite complaints;road dangerous for two-wheelers;road causing accidents;road damaged after pipeline work;road damaged after EB work;road cut not restored;uneven road surface;road sinking;road shoulder damaged;road washed away by rain;bad road affecting school children;bad road affecting ambulance;road causing traffic congestion;new road request;road relaying request;road restoration after utility work;road maintenance ignored;emergency road repair,Assistant Divisional Engineer (Highways),Divisional Engineer,Superintending Engineer,Chief Engineer (Highways),street_name;ward_number;village
potholes,large potholes;multiple potholes;deep potholes;water-filled potholes;pothole causing accidents;pothole causing bike skid;pothole near school;pothole near hospital;pothole on highway;pothole on bridge;pothole after rain;pothole not repaired;dangerous pothole;pothole causing vehicle damage;pothole causing traffic jam;continuous potholes;road crater;pothole after pipeline work;pothole after EB trench work;pothole near bus stop;pothole near junction;pothole complaint ignored;temporary patch damaged;pothole reopened;emergency pothole filling request;unsafe road condition;pothole causing pedestrian injuries;pothole affecting ambulance movement;pothole affecting buses;pothole maintenance pending,Assistant Divisional Engineer (Highways),Divisional Engineer,Superintending Engineer,Chief Engineer (Highways),street_name;ward_number;village
road_widening,road widening request;narrow road causing traffic;road widening pending;encroachments preventing widening;school road widening;hospital access road widening;village road widening;urban road widening;accident-prone narrow road;road widening after acquisition;road widening compensation pending;land acquisition issue;missing shoulder;traffic bottleneck;road widening proposal pending;bridge approach widening;junction widening;bus route widening;industrial area road widening;market road widening;heavy vehicle congestion;unsafe pedestrian movement;highway widening request;service road request;additional lane request;road expansion delayed;government approval pending;public representation for widening;road widening after court order;road alignment issue,Assistant Divisional Engineer (Highways),Divisional Engineer,Superintending Engineer,Chief Engineer (Highways),street_name;ward_number;village
culvert_damage,culvert damaged;culvert collapsed;broken culvert;culvert blocked;culvert overflow;culvert reconstruction needed;culvert washed away;culvert causing flooding;damaged village culvert;culvert unsafe for vehicles;culvert unsafe for pedestrians;culvert railing broken;culvert slab damaged;drain under culvert blocked;culvert maintenance delayed;culvert sinkhole;bridge culvert damage;new culvert request;temporary culvert failure;culvert after heavy rain;approach road damaged;water not flowing through culvert;culvert encroachment;culvert obstruction;public safety risk;culvert repair pending;culvert widening request;damaged irrigation culvert;collapsed cross-drainage work;culvert inspection request,Assistant Divisional Engineer (Highways),Divisional Engineer,Superintending Engineer,Chief Engineer (Highways),street_name;ward_number;village
bridge_damage,bridge damaged;bridge crack;bridge unsafe;bridge railing broken;bridge deck damaged;bridge expansion joint damaged;bridge approach road damaged;bridge settlement;bridge collapse risk;bridge washed away;bridge closed due to damage;bridge inspection request;bridge maintenance delayed;bridge vibration complaint;pedestrian bridge damaged;footbridge damaged;bridge lighting not working;bridge flood damage;bridge structural damage;bridge under repair for long time;bridge traffic restriction;bridge load capacity issue;bridge water leakage;bridge potholes;bridge parapet damaged;temporary bridge unsafe;bridge widening request;bridge reconstruction request;old bridge dangerous;emergency bridge repair,Assistant Divisional Engineer (Highways),Divisional Engineer,Superintending Engineer,Chief Engineer (Highways),bridge_name;village;taluk
footpath_encroachment,footpath encroached;shops occupying footpath;street vendors blocking footpath;illegal parking on footpath;construction materials on footpath;footpath inaccessible;pedestrians forced onto road;wheelchair access blocked;footpath damaged by encroachment;temporary stalls blocking walkway;permanent encroachment;hotel encroachment;footpath narrowed;public pathway blocked;hawkers blocking footpath;footpath converted into parking;illegal fencing;building steps on footpath;ramp obstructing pedestrians;advertisement boards blocking footpath;tree roots damaging footpath;unsafe footpath;footpath repair after encroachment removal;market footpath blocked;school footpath blocked;hospital footpath blocked;footpath cleanliness issue;footpath restoration request;remove illegal occupation;public access obstruction,Commissioner / Executive Officer / BDO,District Collector,Director of Municipal Administration,MAWS Department,street_name;ward_number;village
